Object Unique ID,Level,File name,File use,Type of Resource,Language,Title,Subtitle,Translation,Variant,Variant,Variant,Begin date,Date:creation,End date,File name 2,File use 2,Identifier:filename,Identifier:local,Note:local attribution,Note:note,Note:note,Note:note,Note:note,Note:publication,Note:publication,Note:series,Subject:topic
http://library.ucsd.edu/ark:/20775/bb8806609v,Object,20775-bb8806609v-0-1.pdf,document-service,text,,The New Indicator,,,Natty Dread,,,1977-10-11,"October 11-25, 1977",1977-10-25,20775-bb8806609v-0-2.tgz,document-source,ni_OCTOBER_11-25_1977.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","Description based on: Vol. 7, no. 5 (Nov. 17-Dec. 1, 1981); Latest issue consulted: Vol. 17, no. 10 (Apr. 23, 1992)","""A collectively produced university-community newspaper, distributed to San Diego County college campuses and selected community action/human services organizations.""",PDF file includes photographs,,"La Jolla, CA","Vol. 1, no. 7 (Feb. 17, 1976)-","Volume 3, Issue 2",
http://library.ucsd.edu/ark:/20775/bb2970379j,Object,20775-bb2970379j-0-1.pdf,document-service,text,,The New Indicator,,,Natty Dread,,,1978-02-07,"February 7-20, 1978",1978-02-20,20775-bb2970379j-0-2.tgz,document-source,ni_FEBRUARY_7-20_1978.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"""A collectively produced university-community newspaper, distributed to San Diego County college campuses and selected community action/human services organizations.""","Description based on: Vol. 7, no. 5 (Nov. 17-Dec. 1, 1981); Latest issue consulted: Vol. 17, no. 10 (Apr. 23, 1992)",,"La Jolla, CA","Vol. 1, no. 7 (Feb. 17, 1976)-","Volume 3, Issue 9",
http://library.ucsd.edu/ark:/20775/bb60420770,Object,20775-bb60420770-0-1.pdf,document-service,text,,The Indicator,,,Third World,,,1969-11-12,"November 12, 1969",1969-11-12,20775-bb60420770-0-2.tgz,document-source,in_NOVEMBER_1969.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",Volume numbering irregular. Later issues lack numbering,PDF file includes photographs,,,"Began with Sept. 30, 1966 issue","La Jolla, CA",,
http://library.ucsd.edu/ark:/20775/bb6519900h,Object,20775-bb6519900h-0-1.pdf,document-service,text,,The University Report,,,,,,1985-09-25,"September 25, 1985",1985-09-25,20775-bb6519900h-0-2.tgz,document-source,ur_SEPTEMBER_25_1985.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"""A newspaper serving the UCSD and La Jolla community.""; Ceased in Oct. 1985?",,,"Vol. 1, no. 1 (Sept. 18, 1985)-","La Jolla, CA","Volume 1, Issue 2",
http://library.ucsd.edu/ark:/20775/bb65198992,Object,20775-bb65198992-0-1.pdf,document-service,text,,California Review,,,,,,1986-02-01,February 1986,1986-02-28,20775-bb65198992-0-2.tgz,document-source,cr_FEBRUARY_1986.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","""A Conservative journal."" Imprint varies. Published: La Jolla, Calif., Oct. 1983-",PDF file includes photographs,,,"Vol. 1, no. 1 (May 24, 1982)-","La Jolla, CA","Volume 5, Issue 3",
http://library.ucsd.edu/ark:/20775/bb4403839b,Object,20775-bb4403839b-0-1.pdf,document-service,text,,Revellations,,,,,,1983-12-01,Winter 1983,1983-02-28,20775-bb4403839b-0-2.tgz,document-source,re_WINTER_1983_VOL_9_ISSUE_7.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","Numbering is irregular: Vols. for 1976-1978, Fall 1980-Spring 1983, and Oct. 11, 1990- have both volume and issue numbering. Vols. for 1979-spring 1980 and Oct. 1986-Oct. 8, 1990 have issue numbering only. Some issues lack numbering.","""Revellations is a student publication by the students for the students of Revelle College.""; Description based on: Issue 1 (Oct. 30, 1991)",PDF file includes photographs,Latest issue consulted: Vol. 18-1 (fall 1995),"La Jolla, CA",,"Volume 9, Issue 7",
http://library.ucsd.edu/ark:/20775/bb8431179p,Object,20775-bb8431179p-0-1.pdf,document-service,text,,The New Indicator,,,Natty Dread,,,1982-04-27,"April 27-May 10, 1982",1982-05-10,20775-bb8431179p-0-2.tgz,document-source,ni_APRIL_27_MAY_10_1982.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","Description based on: Vol. 7, no. 5 (Nov. 17-Dec. 1, 1981); Latest issue consulted: Vol. 17, no. 10 (Apr. 23, 1992)","""A collectively produced university-community newspaper, distributed to San Diego County college campuses and selected community action/human services organizations.""",PDF file includes photographs,,"La Jolla, CA","Vol. 1, no. 7 (Feb. 17, 1976)-","Volume 7, Issue 15",
http://library.ucsd.edu/ark:/20775/bb4813399r,Object,20775-bb4813399r-0-1.pdf,document-service,text,,Revellations,,,,,,1991-10-30,"October 30, 1991",1991-10-30,20775-bb4813399r-0-2.tgz,document-source,re_30_OCTOBER_1991_ISSUE_1.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","Numbering is irregular: Vols. for 1976-1978, Fall 1980-Spring 1983, and Oct. 11, 1990- have both volume and issue numbering. Vols. for 1979-spring 1980 and Oct. 1986-Oct. 8, 1990 have issue numbering only. Some issues lack numbering.",PDF file includes photographs,Latest issue consulted: Vol. 18-1 (fall 1995),"""Revellations is a student publication by the students for the students of Revelle College.""; Description based on: Issue 1 (Oct. 30, 1991)","La Jolla, CA",,"Volume 14, Issue 1",
http://library.ucsd.edu/ark:/20775/bb6963590v,Object,20775-bb6963590v-0-1.pdf,document-service,text,,The New Indicator,,,Natty Dread,,,1988-02-08,"February 8-22, 1988",1988-02-22,20775-bb6963590v-0-2.tgz,document-source,ni_FEB_8-22_1988.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","""A collectively produced university-community newspaper, distributed to San Diego County college campuses and selected community action/human services organizations.""",PDF file includes photographs,"Description based on: Vol. 7, no. 5 (Nov. 17-Dec. 1, 1981); Latest issue consulted: Vol. 17, no. 10 (Apr. 23, 1992)",,"La Jolla, CA","Vol. 1, no. 7 (Feb. 17, 1976)-","Volume 13, Issue 6",
http://library.ucsd.edu/ark:/20775/bb97281184,Object,20775-bb97281184-0-1.pdf,document-service,text,,Revellations,,,,,,1977-11-01,November 1977,1977-11-30,20775-bb97281184-0-2.tgz,document-source,re_NOVEMBER_1977_VOL_4_ISSUE_2.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","Numbering is irregular: Vols. for 1976-1978, Fall 1980-Spring 1983, and Oct. 11, 1990- have both volume and issue numbering. Vols. for 1979-spring 1980 and Oct. 1986-Oct. 8, 1990 have issue numbering only. Some issues lack numbering.",Latest issue consulted: Vol. 18-1 (fall 1995),PDF file includes photographs,"""Revellations is a student publication by the students for the students of Revelle College.""; Description based on: Issue 1 (Oct. 30, 1991)","La Jolla, CA",,"Volume 4, Issue 2",
