Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb4813423q,1994-02-10,"February 10, 1994",1994-02-10,UCSD Guardian,41,8,18901
http://library.ucsd.edu/ark:/20775/bb8943155k,1979-05-07,"May 7, 1979",1979-05-07,Guardian,51,11,18740
http://library.ucsd.edu/ark:/20775/bb47792902,1987-05-21,"May 21, 1987",1987-05-21,UCSD Guardian,17,14,16916
http://library.ucsd.edu/ark:/20775/bb75779516,1987-05-07,"May 7, 1987",1987-05-07,UCSD Guardian,48,11,18738
http://library.ucsd.edu/ark:/20775/bb0479396b,2014-01-16,"January 16, 2014",2014-01-16,UCSD Guardian,27,0,10851
http://library.ucsd.edu/ark:/20775/bb23906782,2014-03-10,"March 10, 2014",2014-03-10,UCSD Guardian,9,11,12349
http://library.ucsd.edu/ark:/20775/bb86701140,1977-03-16,"March 16, 1977",1977-03-16,Triton Times,36,7,10327
http://library.ucsd.edu/ark:/20775/bb5837320f,1981-01-05,"January 5, 1981",1981-01-05,The Guardian,84,1,20569
http://library.ucsd.edu/ark:/20775/bb2014764j,1990-10-15,"October 15, 1990",1990-10-15,UCSD Guardian,36,6,24720
http://library.ucsd.edu/ark:/20775/bb32093141,2000-10-26,"October 26, 2000",2000-10-26,UCSD Guardian,67,27,24842
http://library.ucsd.edu/ark:/20775/bb4984071q,1991-03-11,"March 11, 1991",1991-03-11,UCSD Guardian,46,10,25514
http://library.ucsd.edu/ark:/20775/bb23560659,1997-10-09,"October 9, 1997",1997-10-09,UCSD Guardian,55,8,21930
http://library.ucsd.edu/ark:/20775/bb6690569x,1981-09-21,"September 21, 1981",1981-09-21,UCSD Guardian,179,2,26365
http://library.ucsd.edu/ark:/20775/bb14686814,1979-03-02,"March 2, 1979",1979-03-02,Guardian,52,6,17158
http://library.ucsd.edu/ark:/20775/bb7509692g,1973-04-17,"April 17, 1973",1973-04-17,Triton Times,46,9,20548
http://library.ucsd.edu/ark:/20775/bb8567844r,2009-03-02,"March 2, 2009",2009-03-02,UCSD Guardian,5,7,17917
http://library.ucsd.edu/ark:/20775/bb3209313h,1985-12-05,"December 5, 1985",1985-12-05,UCSD Guardian,74,26,22654
http://library.ucsd.edu/ark:/20775/bb20147652,1974-03-15,"March 15, 1974",1974-03-15,Triton Times,50,11,25093
http://library.ucsd.edu/ark:/20775/bb57690636,1983-03-07,"March 7, 1983",1983-03-07,UCSD Guardian,148,6,32501
http://library.ucsd.edu/ark:/20775/bb7577950p,1993-01-25,"January 25, 1993",1993-01-25,UCSD Guardian,41,4,23352
http://library.ucsd.edu/ark:/20775/bb61786235,1975-04-11,"April 11, 1975",1975-04-11,Triton Times,8,2,6639
http://library.ucsd.edu/ark:/20775/bb31751777,1989-03-13,"March 13, 1989",1989-03-13,UCSD Guardian,109,21,26861
http://library.ucsd.edu/ark:/20775/bb38236534,1986-02-24,"February 24, 1986",1986-02-24,UCSD Guardian,54,14,21601
http://library.ucsd.edu/ark:/20775/bb89431563,1992-10-26,"October 26, 1992",1992-10-26,UCSD Guardian,56,18,26731
http://library.ucsd.edu/ark:/20775/bb2970399h,1972-04-07,"April 7, 1972",1972-04-07,Triton Times,60,4,16432
http://library.ucsd.edu/ark:/20775/bb5905575q,2005-04-11,"April 11, 2005",2005-04-11,UCSD Guardian,23,3,16793
http://library.ucsd.edu/ark:/20775/bb7304909b,1983-10-27,"October 27, 1983",1983-10-27,UCSD Guardian,36,25,19979
http://library.ucsd.edu/ark:/20775/bb3004531k,1999-09-28,"September 28, 1999",1999-09-28,UCSD Guardian,75,34,49748
http://library.ucsd.edu/ark:/20775/bb4574512t,1996-05-30,"May 30, 1996",1996-05-30,UCSD Guardian,12,11,20301
http://library.ucsd.edu/ark:/20775/bb5769062p,1979-10-31,"October 31, 1979",1979-10-31,Daily Guardian,35,1,10512
http://library.ucsd.edu/ark:/20775/bb62810108,1970-12-01,"December 1, 1970",1970-12-01,Triton Times,53,9,22194
http://library.ucsd.edu/ark:/20775/bb07519473,1977-06-10,"June 10, 1977",1977-06-10,Triton Times,58,11,27980
http://library.ucsd.edu/ark:/20775/bb59055767,1998-02-12,"February 12, 1998",1998-02-12,UCSD Guardian,95,6,29111
http://library.ucsd.edu/ark:/20775/bb1298035j,1979-01-19,"January 19, 1979",1979-01-19,Guardian,42,2,15681
http://library.ucsd.edu/ark:/20775/bb7509691z,1974-04-01,"April 1, 1974",1974-04-01,Triton Times,24,10,19818
http://library.ucsd.edu/ark:/20775/bb4574513b,1986-04-14,"April 14, 1986",1986-04-14,UCSD Guardian,32,17,21914
http://library.ucsd.edu/ark:/20775/bb1468680m,1980-11-17,"November 17, 1980",1980-11-17,Daily Guardian,45,16,23865
http://library.ucsd.edu/ark:/20775/bb5154844t,2007-11-05,"November 5, 2007",2007-11-05,UCSD Guardian,12,12,16796
