Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb8806609v,1977-10-11,"October 11-25, 1977",1977-10-25,The New Indicator,3,5,5923
http://library.ucsd.edu/ark:/20775/bb2970379j,1978-02-07,"February 7-20, 1978",1978-02-20,The New Indicator,11,0,6107
http://library.ucsd.edu/ark:/20775/bb60420770,1969-11-12,"November 12, 1969",1969-11-12,The Indicator,41,1,13904
http://library.ucsd.edu/ark:/20775/bb6519900h,1985-09-25,"September 25, 1985",1985-09-25,The University Report,32,4,18034
http://library.ucsd.edu/ark:/20775/bb65198992,1986-02-01,February 1986,1986-02-28,California Review,68,9,21735
http://library.ucsd.edu/ark:/20775/bb4403839b,1983-12-01,Winter 1983,1983-02-28,Revellations,5,9,4391
http://library.ucsd.edu/ark:/20775/bb8431179p,1982-04-27,"April 27-May 10, 1982",1982-05-10,The New Indicator,35,7,20514
http://library.ucsd.edu/ark:/20775/bb4813399r,1991-10-30,"October 30, 1991",1991-10-30,Revellations,0,0,3871
http://library.ucsd.edu/ark:/20775/bb6963590v,1988-02-08,"February 8-22, 1988",1988-02-22,The New Indicator,38,13,14668
http://library.ucsd.edu/ark:/20775/bb97281184,1977-11-01,November 1977,1977-11-30,Revellations,3,0,2428
http://library.ucsd.edu/ark:/20775/bb59396880,1970-11-04,"November 4, 1970",1970-11-04,Third World,7,17,6976
http://library.ucsd.edu/ark:/20775/bb6519898j,1965-05-12,"May 12, 1965",1965-05-12,Sandscript,3,0,3931
http://library.ucsd.edu/ark:/20775/bb3482326c,1966-02-25,"February 25, 1966",1966-02-25,Sandscript,11,0,4495
http://library.ucsd.edu/ark:/20775/bb8055747x,1980-10-21,"October 21-November 3, 1980",1980-11-03,The New Indicator,37,0,13755
http://library.ucsd.edu/ark:/20775/bb22195182,1990-10-21,"October 21-November 14, 1990",1990-11-14,The New Indicator,10,3,15703
http://library.ucsd.edu/ark:/20775/bb06154066,1985-05-21,"May 21-June 3, 1985",1985-06-03,The New Indicator,24,7,15718
http://library.ucsd.edu/ark:/20775/bb96939916,1976-10-01,October 1976,1976-10-31,The New Indicator,86,5,33474
http://library.ucsd.edu/ark:/20775/bb61444680,1982-11-01,November-December 1982,1982-12-31,California Review,34,2,25697
http://library.ucsd.edu/ark:/20775/bb08884477,1987-02-03,"February 3-16, 1987",1987-02-16,The New Indicator,21,2,14908
http://library.ucsd.edu/ark:/20775/bb6212731n,1986-01-14,"January 14-28, 1986",1986-01-28,The New Indicator,13,1,13489
http://library.ucsd.edu/ark:/20775/bb82263981,1974-04-16,"April 16-30, 1974",1974-04-30,North Star,41,9,17636
http://library.ucsd.edu/ark:/20775/bb3789499p,1983-05-17,"May 17-30, 1983",1983-05-30,The New Indicator,53,17,21899
http://library.ucsd.edu/ark:/20775/bb3687107s,1974-06-01,June 1974,1974-06-30,Prensa Popular,19,1,20435
http://library.ucsd.edu/ark:/20775/bb4164932t,1986-05-13,"May 13-26, 1986",1986-05-26,The New Indicator,38,2,13729
http://library.ucsd.edu/ark:/20775/bb4711009w,1989-03-01,"March 1, 1989",1989-03-01,Revellations,6,3,4269
http://library.ucsd.edu/ark:/20775/bb0854321x,2003-06-06,"June 6, 2003",2003-06-06,California Review,22,4,17253
http://library.ucsd.edu/ark:/20775/bb7850966n,1993-06-01,June 1993,1993-06-30,The New Indicator,59,22,34304
http://library.ucsd.edu/ark:/20775/bb92844306,1981-02-17,"February 17-March 3, 1981",1981-03-03,The New Indicator,79,12,27642
http://library.ucsd.edu/ark:/20775/bb6758809h,1989-09-27,"September 27-October 10, 1989",1989-10-10,The New Indicator,11,1,9993
http://library.ucsd.edu/ark:/20775/bb0683671q,1977-06-01,June 1977,1977-06-30,The New Indicator,65,20,21041
http://library.ucsd.edu/ark:/20775/bb9693990p,1987-03-03,"March 3-30, 1987",1987-03-30,The New Indicator,33,5,16836
http://library.ucsd.edu/ark:/20775/bb8226397h,1965-04-07,"April 7, 1965",1965-04-07,Sandscript,2,0,1992
http://library.ucsd.edu/ark:/20775/bb93526881,1983-11-30,"November 30-January 4, 1983",1983-01-04,The New Indicator,3,1,1672
http://library.ucsd.edu/ark:/20775/bb35505893,1987-04-10,"April 10, 1987",1987-04-10,Revellations,5,0,4256
http://library.ucsd.edu/ark:/20775/bb5939689h,1980-11-04,"November 4-17, 1980",1980-11-17,The New Indicator,21,0,21298
http://library.ucsd.edu/ark:/20775/bb4608618q,1987-01-16,"January 16, 1987",1987-01-16,Revellations,2,14,5474
http://library.ucsd.edu/ark:/20775/bb5222962k,1978-10-03,"October 3-16, 1978",1978-10-16,The New Indicator,15,4,9586
http://library.ucsd.edu/ark:/20775/bb7168367r,1992-12-01,Winter 1992,1992-02-28,Momentum,7,1,7307
http://library.ucsd.edu/ark:/20775/bb3584716v,1987-01-06,"January 6-20, 1987",1987-01-20,The New Indicator,28,1,18280
http://library.ucsd.edu/ark:/20775/bb7407278n,1974-03-04,"March 4-17, 1974",1974-03-17,North Star,41,4,15069
http://library.ucsd.edu/ark:/20775/bb2765599d,1967-05-24,"May 24, 1967",1967-05-24,The Indicator,43,5,13313
http://library.ucsd.edu/ark:/20775/bb0001069r,1966-06-03,"June 3, 1966",1966-06-03,Sandscript,13,0,9695
http://library.ucsd.edu/ark:/20775/bb6144467g,1983-11-22,"November 22-December 5, 1983",1983-12-05,The New Indicator,30,3,14286
http://library.ucsd.edu/ark:/20775/bb5393606t,1989-01-17,"January 17-31, 1989",1989-01-31,The New Indicator,10,0,4723
http://library.ucsd.edu/ark:/20775/bb0888446q,1979-06-01,June 1979,1979-06-30,People's Voice,129,0,15646
http://library.ucsd.edu/ark:/20775/bb6827071z,1986-04-01,April 1986,1986-04-30,California Review,68,10,18874
http://library.ucsd.edu/ark:/20775/bb8806608b,1994-05-01,May 1994,1994-05-31,Momentum,6,3,6095
http://library.ucsd.edu/ark:/20775/bb3550588k,1984-06-12,"June 12-September 25, 1984",1984-09-25,The New Indicator,37,10,15270
http://library.ucsd.edu/ark:/20775/bb57349097,2003-04-01,"April 1, 2003",2003-04-01,California Review,8,11,4199
http://library.ucsd.edu/ark:/20775/bb1571048z,1987-05-08,"May 8, 1987",1987-05-08,Revellations,34,30,5245
http://library.ucsd.edu/ark:/20775/bb71683688,1992-10-01,October 1992,1992-10-31,Momentum,9,3,7080
http://library.ucsd.edu/ark:/20775/bb06154087,1987-04-24,"April 24, 1987",1987-04-24,Revellations,16,6,5072
http://library.ucsd.edu/ark:/20775/bb29703781,1992-04-01,April 1992,1992-04-30,Revellations,0,0,1824
http://library.ucsd.edu/ark:/20775/bb90796502,1991-02-01,February 1991,1991-02-28,Revellations,13,8,5474
http://library.ucsd.edu/ark:/20775/bb6144466z,1988-09-01,September 1988,1988-09-30,California Review,6,1,5588
http://library.ucsd.edu/ark:/20775/bb7612058s,1986-03-11,"March 11-31, 1986",1986-03-31,The New Indicator,39,10,20506
http://library.ucsd.edu/ark:/20775/bb8055749z,1980-05-13,"May 13-26, 1980",1980-05-26,The New Indicator,18,3,13164
http://library.ucsd.edu/ark:/20775/bb1809959p,2002-03-01,March 2002,2002-03-31,The New Indicator,45,6,20040
http://library.ucsd.edu/ark:/20775/bb0137934q,1991-12-01,December 1991,1991-12-31,California Review,25,18,11289
http://library.ucsd.edu/ark:/20775/bb3960150z,1981-01-20,"January 20-February 2, 1981",1981-02-02,The New Indicator,37,0,14330
http://library.ucsd.edu/ark:/20775/bb4164930s,1977-03-15,"March 15-April 7, 1977",1977-04-07,The New Indicator,26,6,15848
http://library.ucsd.edu/ark:/20775/bb6622289q,1975-04-01,April 1975,1975-04-30,Ujima,28,40,13916
http://library.ucsd.edu/ark:/20775/bb06495408,1978-05-02,"May 2-15, 1978",1978-05-15,The New Indicator,15,7,10293
http://library.ucsd.edu/ark:/20775/bb03423692,1990-02-14,"February 14-27, 1990",1990-02-27,The New Indicator,10,3,13022
http://library.ucsd.edu/ark:/20775/bb6929806x,1992-02-01,February 1992,1992-02-29,California Review,56,10,19659
http://library.ucsd.edu/ark:/20775/bb0547152t,1980-01-22,"January 22-February 4, 1980",1980-02-04,The New Indicator,42,7,19330
http://library.ucsd.edu/ark:/20775/bb20147385,1974-05-01,"May, 1974",1974-05-31,Prensa Popular,54,4,41948
http://library.ucsd.edu/ark:/20775/bb5871429k,1985-06-01,June 1985,1985-06-30,California Review,55,2,19501
http://library.ucsd.edu/ark:/20775/bb62127304,1988-06-07,"June 7, 1988",1988-06-07,Revellations,35,15,9788
http://library.ucsd.edu/ark:/20775/bb6827070f,2004-05-01,May 2004,2004-05-31,California Review,40,1,6548
http://library.ucsd.edu/ark:/20775/bb14007454,2012-01-30,"January 30, 2012",2012-01-30,California Review,17,1,17271
http://library.ucsd.edu/ark:/20775/bb4403838t,1993-05-01,May 1993,1993-05-31,Revellations,1,7,2593
http://library.ucsd.edu/ark:/20775/bb91137786,1992-05-01,May 1992,1992-05-31,Revellations,0,0,3859
http://library.ucsd.edu/ark:/20775/bb0888448r,1966-05-22,"May 22, 1966",1966-05-22,Sandscript,5,0,6932
http://library.ucsd.edu/ark:/20775/bb11956213,1968-11-20,"November 20, 1968",1968-11-20,The Indicator,110,15,18890
http://library.ucsd.edu/ark:/20775/bb31068994,1990-01-17,"January 17-31, 1990",1990-01-31,The New Indicator,7,0,4276
http://library.ucsd.edu/ark:/20775/bb4676879v,1966-05-06,"May 6, 1966",1966-05-06,The Revelle Times,13,1,7932
http://library.ucsd.edu/ark:/20775/bb89431322,1976-02-25,"February 25, 1976",1976-02-25,The New Indicator,6,1,7386
